order_id,delivery_status,delivery_time,rider_id
5151,Delivered,11:40:49,26
3465,Delivered,00:03:26,6
1338,Delivered,22:52:52,9
8782,Delivered,20:29:17,45
1210,Delivered,13:28:52,17
1866,In transit,,41
5712,Delivered,13:17:54,41
621,Delivered,15:43:46,43
4391,Delivered,22:45:04,9
6868,Delivered,18:34:15,29
4546,Failed,,57
6568,Delivered,16:44:34,18
7249,Delivered,01:37:38,32
2725,Delivered,13:58:02,40
6195,Delivered,16:09:48,21
3116,Delivered,21:10:01,16
7866,Delivered,19:45:07,7
4854,Delivered,10:48:18,47
7428,Delivered,22:36:35,53
844,Delivered,19:52:12,20
4221,Delivered,11:45:20,56
8988,Delivered,23:22:30,46
8570,Delivered,19:19:22,33
8981,Delivered,15:49:08,31
1735,Delivered,13:38:46,42
5816,Delivered,18:24:42,22
2279,Delivered,00:46:13,17
2412,Delivered,22:45:14,6
8074,Delivered,13:33:04,43
3811,Delivered,10:40:42,49
2802,In transit,,25
2908,Delivered,19:39:01,27
1655,Delivered,13:44:25,66
7750,In transit,,32
2409,Delivered,10:39:10,27
1783,Delivered,14:27:08,15
1790,Delivered,20:55:28,65
2784,Delivered,12:10:09,42
8821,Delivered,21:27:07,5
6839,Delivered,12:56:20,68
127,Delivered,19:41:10,13
5732,Delivered,22:28:15,54
5612,Failed,,68
5813,In transit,,46
1223,Delivered,13:02:12,45
5943,In transit,,22
3167,Delivered,09:06:37,17
3600,Delivered,11:47:07,17
3981,Delivered,00:00:52,64
2494,Delivered,10:07:29,46
3217,Delivered,11:14:58,3
4889,Delivered,14:14:36,12
2926,Delivered,13:15:53,21
458,In transit,,4
7005,Delivered,17:06:48,26
7563,Delivered,15:46:55,13
2234,Delivered,01:50:33,10
83,Delivered,17:56:04,36
6473,Delivered,11:46:05,59
8971,Delivered,14:59:21,17
1297,Delivered,23:41:50,62
2673,Delivered,01:22:56,2
6899,Delivered,16:35:51,2
6661,Delivered,10:31:34,29
2524,Delivered,14:32:20,24
3876,Delivered,19:58:11,62
833,Delivered,20:30:52,18
4905,In transit,,69
995,Delivered,17:07:08,55
6853,Delivered,11:28:21,17
8231,Delivered,19:23:52,6
3931,In transit,,15
2397,Delivered,15:20:25,19
7826,Delivered,14:12:51,4
2520,Delivered,11:16:55,20
357,Delivered,11:52:48,61
8622,Delivered,06:04:35,38
5761,Delivered,16:20:20,41
5189,Delivered,22:28:15,44
778,In transit,,52
7605,Delivered,10:50:57,13
136,Delivered,13:49:20,65
874,Delivered,13:53:33,36
930,Delivered,11:49:13,60
2983,Delivered,21:55:33,39
8624,Delivered,10:30:27,68
8712,Failed,,14
4870,Delivered,07:16:05,55
2099,Delivered,03:22:28,15
1706,Delivered,22:18:23,65
4210,In transit,,5
720,Delivered,11:28:27,45
332,In transit,,54
4585,In transit,,55
1045,Delivered,20:26:22,19
1837,Delivered,02:11:38,32
8986,Delivered,19:44:56,46
7345,Delivered,18:37:11,37
2384,In transit,,56
5901,Delivered,13:02:09,54
2373,Delivered,10:29:17,18
3457,Delivered,12:43:40,10
4868,Delivered,16:41:18,69
919,Delivered,10:41:46,4
7292,Delivered,09:39:19,36
4364,Delivered,17:28:03,29
367,Delivered,11:43:13,54
7490,Failed,,23
6864,Delivered,07:36:34,31
3965,Delivered,18:34:02,23
7283,Delivered,18:56:57,7
8230,Delivered,11:34:21,28
3171,Failed,,30
2114,Delivered,11:26:42,44
72,Delivered,15:09:10,33
3686,Delivered,21:09:31,58
6719,Delivered,17:24:16,48
4516,Delivered,23:16:09,8
1266,Delivered,11:09:11,67
3089,Delivered,22:11:06,9
7954,In transit,,58
8204,In transit,,9
6912,Delivered,18:26:39,27
4137,Delivered,17:46:04,68
7726,Delivered,18:57:41,9
7287,Delivered,13:43:32,63
4783,Delivered,12:51:58,37
7241,Delivered,10:18:31,69
8565,Delivered,07:17:45,69
2097,Delivered,11:39:36,29
8255,Delivered,22:12:53,3
4591,Delivered,00:06:23,34
4563,Delivered,20:44:53,62
8459,Delivered,02:04:31,10
4823,Delivered,17:39:21,66
3048,Delivered,15:34:32,4
5661,Delivered,16:07:56,3
2254,In transit,,64
1409,Delivered,19:24:20,47
5402,Delivered,10:01:28,35
4759,Delivered,11:37:53,48
7705,In transit,,18
1727,Failed,,22
6648,Delivered,11:20:37,47
1683,Delivered,11:52:36,11
1547,Delivered,15:11:26,41
6908,In transit,,70
432,In transit,,46
1442,Delivered,11:20:36,24
2856,Delivered,01:00:28,17
3737,Delivered,16:15:01,27
1063,Delivered,02:13:22,10
8483,In transit,,4
7238,Delivered,13:20:31,2
363,Delivered,15:27:44,60
2752,Delivered,11:08:40,10
961,Delivered,01:09:47,54
7646,Delivered,00:12:22,66
1719,Delivered,12:12:55,12
4525,Delivered,16:06:27,64
2098,Delivered,15:25:43,57
5212,Delivered,23:49:00,30
2169,Delivered,02:40:54,40
2182,Delivered,11:48:46,58
5631,In transit,,30
2529,Delivered,03:00:16,55
5804,Delivered,18:17:53,60
205,Delivered,18:07:07,66
910,Delivered,03:58:21,39
8457,In transit,,57
91,Delivered,14:29:25,16
1002,Delivered,12:48:37,28
6796,Delivered,17:09:11,3
434,Delivered,11:25:29,57
2724,Delivered,07:58:33,8
1904,Delivered,19:38:30,22
7424,Delivered,21:38:54,58
6364,Delivered,19:53:09,29
2698,Delivered,23:10:09,20
7153,Delivered,12:08:18,30
1570,Delivered,18:19:44,25
3373,Delivered,16:23:57,68
3767,Delivered,23:25:52,61
5972,Delivered,18:13:35,67
923,Delivered,20:13:33,18
2441,Delivered,09:03:37,42
2161,Delivered,16:15:47,40
1043,In transit,,61
3036,Delivered,13:33:04,28
7611,Delivered,18:30:17,47
6716,Delivered,09:26:48,14
5013,Delivered,13:15:24,30
3679,Failed,,19
7731,Delivered,16:02:07,1
4045,Delivered,02:46:05,33
7118,Delivered,17:14:05,67
8582,Delivered,14:24:00,17
8141,Delivered,10:14:46,27
7570,Delivered,10:43:54,13
1200,Delivered,20:22:12,62
7682,Delivered,14:49:19,46
4955,Delivered,06:47:52,44
6352,Delivered,12:38:28,47
7302,Delivered,12:58:04,16
1360,In transit,,11
4185,Delivered,03:11:52,5
5197,Delivered,22:35:39,51
6403,Delivered,03:50:18,11
6627,Delivered,20:49:21,14
240,Failed,,4
3718,Delivered,18:58:00,68
8832,Delivered,22:40:55,30
3647,Delivered,01:05:53,63
5609,Delivered,00:31:05,9
8756,In transit,,57
1520,In transit,,6
3972,Delivered,19:03:47,56
2677,In transit,,18
1352,Delivered,08:32:42,35
4983,Delivered,20:40:00,16
172,Delivered,22:43:18,51
4156,Delivered,16:22:10,25
982,Delivered,11:50:21,40
2116,Delivered,20:49:56,50
1226,Delivered,09:15:11,67
5668,Delivered,01:51:40,53
1908,Delivered,17:19:07,57
7526,Failed,,16
1870,In transit,,36
196,In transit,,23
5910,Delivered,16:45:25,4
3658,Delivered,06:32:25,17
4917,In transit,,9
504,Delivered,12:42:23,66
4786,In transit,,31
3432,Failed,,7
1443,Delivered,23:56:41,7
7166,Delivered,15:21:20,54
4667,Delivered,20:09:55,34
4581,Delivered,01:51:21,38
4030,Delivered,11:24:03,30
3098,Failed,,34
6716,Delivered,11:26:48,32
4208,Delivered,13:40:26,65
2925,Delivered,15:00:57,24
2609,Delivered,10:11:40,19
8485,Failed,,2
963,Delivered,15:08:26,16
7967,Delivered,14:38:32,57
6715,Delivered,22:26:07,1
6063,Delivered,07:04:51,17
4902,Delivered,15:26:13,10
7757,In transit,,11
6935,Delivered,07:00:34,13
1034,Delivered,02:40:33,35
2549,In transit,,59
5405,Delivered,12:58:22,47
1967,Failed,,61
8055,Delivered,22:32:04,10
344,Delivered,15:36:52,68
8721,Delivered,07:46:13,34
5250,Delivered,11:39:01,60
7240,Delivered,19:29:37,1
6207,In transit,,55
5532,Delivered,22:16:48,40
1086,Delivered,17:48:21,44
8244,In transit,,14
2086,Delivered,07:40:43,2
3312,Delivered,17:38:28,4
996,In transit,,12
6166,Delivered,23:38:21,4
246,Delivered,18:25:49,26
45,Delivered,22:17:54,16
4110,In transit,,54
3943,In transit,,61
749,Delivered,16:11:35,68
5650,Delivered,20:10:53,25
4882,Delivered,19:20:32,16
7251,Delivered,21:37:26,23
6715,Delivered,22:26:07,12
6386,Delivered,18:43:25,61
4859,In transit,,19
2521,In transit,,59
2670,Delivered,11:40:34,18
8986,Delivered,22:44:56,11
1653,Delivered,15:21:16,32
2526,Delivered,01:50:33,47
2710,Delivered,20:04:01,18
3237,Delivered,15:41:33,69
6374,Delivered,13:32:12,1
920,In transit,,31
1324,Delivered,21:18:42,8
8371,Delivered,13:33:41,32
5835,Failed,,57
8790,Failed,,51
3454,Delivered,06:38:31,23
4736,Delivered,00:05:31,34
2711,Delivered,18:21:05,69
516,Delivered,11:39:25,17
1042,In transit,,5
8676,Delivered,21:34:12,14
587,Delivered,19:29:45,32
7446,Delivered,19:18:12,41
7743,Delivered,21:49:32,57
1847,Delivered,00:20:45,6
5678,Delivered,12:19:08,13
1849,Delivered,01:28:56,48
1529,Failed,,27
8337,Delivered,17:24:09,35
4913,Delivered,15:20:22,67
6200,Delivered,13:23:38,63
6928,In transit,,33
2107,Delivered,21:46:13,67
3708,Delivered,09:00:04,2
8859,Delivered,00:35:08,56
3725,Delivered,12:40:41,6
4396,Delivered,20:36:06,27
3952,In transit,,68
1084,Failed,,4
2527,Failed,,49
3955,Delivered,03:05:45,59
6548,Delivered,01:41:46,56
1781,Delivered,15:14:31,42
776,Failed,,23
1080,Delivered,09:24:58,52
6377,Delivered,16:04:23,54
773,Delivered,14:01:27,46
7428,Delivered,02:36:35,43
7813,In transit,,16
4054,Delivered,13:10:12,42
4511,Delivered,06:18:22,63
3571,Delivered,12:13:33,21
1529,Delivered,01:21:08,36
755,Delivered,19:49:26,63
1291,Delivered,11:11:31,68
4435,Delivered,11:12:30,20
2562,Delivered,15:34:16,53
8193,Delivered,20:13:28,68
1808,Delivered,18:27:51,56
7491,Delivered,23:42:34,57
5842,Delivered,20:04:47,69
403,Delivered,15:37:54,17
3357,Delivered,11:09:36,53
4375,Delivered,19:04:18,14
2830,Delivered,15:30:42,66
8746,In transit,,46
5452,Delivered,20:01:24,65
400,Delivered,17:33:33,8
7022,Delivered,00:18:52,29
3158,Delivered,22:04:26,67
513,Delivered,10:27:49,19
8582,Delivered,15:24:00,21
7004,Delivered,09:50:28,49
6245,Delivered,23:23:13,20
5215,Delivered,02:59:40,41
8609,Delivered,12:15:23,45
8963,Failed,,50
4993,Delivered,13:51:39,65
8530,Delivered,10:47:53,9
6448,In transit,,21
6166,In transit,,38
8895,In transit,,36
7341,In transit,,11
1407,Delivered,00:11:10,65
3954,Delivered,17:26:23,57
5719,Delivered,18:06:23,40
6475,Delivered,18:28:33,33
2542,Delivered,18:50:00,57
6179,Delivered,09:44:32,70
2271,Delivered,08:34:00,62
4991,Delivered,22:30:37,6
8906,Delivered,09:49:41,28
4572,Delivered,17:33:14,31
6896,Delivered,00:31:06,2
3350,Delivered,21:47:43,8
2420,Delivered,16:05:55,31
8569,Delivered,00:04:29,28
4691,Delivered,01:41:47,21
1241,Delivered,10:31:29,15
6077,In transit,,40
5259,Delivered,06:41:51,57
2516,In transit,,50
6936,Delivered,08:37:37,58
2060,Delivered,17:12:10,8
8381,Delivered,17:59:40,27
1759,In transit,,47
7143,Delivered,18:44:32,50
2320,Delivered,16:36:39,54
3049,Delivered,08:38:42,21
7572,Delivered,17:13:35,36
1630,In transit,,14
1002,In transit,,70
1706,Delivered,22:18:23,18
8542,In transit,,54
2819,Delivered,09:48:34,27
6562,In transit,,21
6663,Delivered,15:03:38,14
3182,In transit,,37
5040,Delivered,23:16:54,43
103,Delivered,23:40:46,39
8471,Delivered,18:42:06,29
4945,In transit,,65
1468,Delivered,01:39:32,55
6752,Delivered,19:02:17,34
8933,Delivered,18:40:21,64
6748,Delivered,19:09:45,10
3282,Delivered,23:32:42,9
2621,Delivered,09:09:51,61
5242,Delivered,22:22:17,61
1198,Delivered,18:13:54,8
4265,Delivered,10:29:36,21
2262,Delivered,00:32:43,61
6487,Delivered,09:39:36,61
3150,Delivered,09:16:29,47
8982,Delivered,16:41:24,47
2517,Delivered,08:19:40,60
5595,Delivered,11:52:38,65
7282,Delivered,01:19:45,36
587,Delivered,18:29:45,38
4346,Delivered,15:09:23,31
278,Delivered,14:50:43,68
6818,Delivered,21:23:19,5
2946,Delivered,13:54:41,40
5332,Delivered,10:16:12,35
7280,Delivered,19:07:54,48
8200,Delivered,22:32:36,10
5728,Delivered,00:44:29,14
3032,Delivered,14:59:07,12
3498,Delivered,18:25:46,11
1893,Failed,,27
4648,In transit,,9
5965,Delivered,10:36:36,67
1215,Delivered,11:27:52,67
3076,Delivered,11:57:40,21
1624,Delivered,21:39:14,64
2227,Delivered,11:33:53,15
8401,Delivered,00:11:04,53
6542,Delivered,21:54:56,69
7089,Delivered,09:07:42,10
662,Delivered,18:48:33,33
8360,Delivered,23:55:44,43
6301,Delivered,23:48:31,5
7110,Delivered,13:22:27,22
7345,Delivered,18:37:11,31
821,Failed,,48
1450,Delivered,01:27:31,53
7980,Delivered,19:10:52,65
6907,Delivered,12:07:21,47
2756,Delivered,23:21:07,12
2111,Failed,,63
7156,Delivered,13:07:16,37
6969,In transit,,60
5851,Delivered,22:21:12,31
8909,Delivered,23:32:36,48
5688,Delivered,00:04:56,36
6703,Delivered,18:15:19,17
974,In transit,,12
2705,In transit,,11
8734,Delivered,21:45:41,42
5266,Delivered,11:01:04,22
4170,Delivered,13:43:34,41
8291,Delivered,21:30:06,70
3186,Delivered,20:03:41,6
718,Delivered,03:15:59,45
5081,Delivered,00:54:03,43
5409,Delivered,08:11:55,67
2039,In transit,,12
2893,In transit,,34
7896,Delivered,18:53:59,18
4895,Delivered,16:00:32,61
2442,In transit,,54
6341,Delivered,20:58:14,57
7901,Delivered,07:43:53,18
5148,Delivered,12:06:29,7
6289,Delivered,17:58:03,56
1918,Delivered,13:06:43,67
6512,Failed,,5
2463,Delivered,14:57:18,56
7259,Delivered,16:22:19,70
152,Delivered,21:50:24,15
381,Delivered,15:39:03,7
3770,Delivered,01:10:51,43
4027,In transit,,45
88,Delivered,02:51:45,36
6447,Delivered,22:36:44,37
913,Delivered,12:47:24,4
8410,Delivered,19:59:02,52
2344,Delivered,13:54:10,9
291,Delivered,08:06:53,32
8203,Delivered,11:56:41,28
8209,Delivered,21:01:39,30
688,Delivered,19:05:30,46
1975,Delivered,15:55:52,38
2535,Delivered,14:12:53,50
7921,In transit,,32
2060,Delivered,16:12:10,37
2164,Delivered,13:11:13,18
8513,Delivered,08:15:51,42
5865,Delivered,02:07:58,34
3774,Delivered,13:00:05,60
8907,Delivered,22:18:00,34
4148,Failed,,45
4411,In transit,,70
4189,Delivered,20:38:16,33
5138,Delivered,03:06:23,31
7724,Failed,,16
4991,Delivered,17:30:37,40
7504,Delivered,21:52:43,52
8429,Delivered,20:32:49,25
1794,Delivered,16:20:50,64
5424,Delivered,11:25:48,10
6206,Delivered,18:59:38,1
5694,Delivered,11:54:06,25
2683,Delivered,11:57:48,40
471,Delivered,22:33:06,48
2901,Delivered,20:34:38,20
3048,Delivered,16:34:32,62
8120,Delivered,07:29:32,63
5564,Delivered,11:15:19,25
5932,Delivered,11:10:27,18
7207,Delivered,21:37:57,56
5009,Delivered,06:44:42,9
4526,Delivered,13:06:14,13
3163,Delivered,23:30:42,40
2675,Delivered,16:00:21,49
5749,Delivered,02:49:11,42
658,Delivered,17:34:02,65
2827,Delivered,17:38:18,64
6371,Delivered,13:05:25,26
1702,Delivered,23:38:58,43
6669,Delivered,13:08:03,64
2782,Failed,,52
8143,Delivered,16:57:48,23
3649,Delivered,23:41:28,10
4482,Delivered,14:01:30,65
7644,Delivered,08:28:13,70
1831,In transit,,57
3592,Delivered,08:31:52,59
8078,Delivered,15:57:51,58
8495,Delivered,17:32:41,15
3237,In transit,,63
8531,Delivered,10:17:24,59
456,Delivered,11:31:55,64
8169,Delivered,15:34:06,59
6525,Delivered,00:46:11,8
2468,Delivered,17:43:51,2
4817,Delivered,23:40:43,58
5321,Delivered,14:16:55,45
2973,In transit,,12
4775,Delivered,17:12:02,36
2383,Delivered,14:04:40,56
7350,Delivered,23:52:34,51
1341,Delivered,11:10:34,55
734,Delivered,13:12:06,53
625,Delivered,13:48:11,49
7115,Delivered,20:01:02,10
1926,Delivered,20:04:01,53
3771,Delivered,17:42:33,27
7229,Delivered,17:31:27,65
4308,In transit,,25
3167,Delivered,10:06:37,34
8425,Delivered,01:49:53,30
6981,Delivered,14:25:24,4
8041,Delivered,21:26:07,28
6499,Delivered,12:04:10,22
8327,Delivered,15:11:55,32
7838,Delivered,10:19:50,21
2999,In transit,,66
5138,Delivered,00:06:23,8
2087,In transit,,68
6846,Delivered,15:52:27,40
3914,Delivered,17:52:54,16
3440,Delivered,13:05:32,19
5880,In transit,,9
5145,Delivered,17:02:06,19
636,In transit,,38
7795,Delivered,14:42:20,35
7725,Delivered,11:17:38,7
1892,Delivered,15:30:46,20
7247,Delivered,07:21:52,62
8568,Delivered,15:51:34,50
1437,Delivered,16:36:34,37
3686,Delivered,16:09:31,5
7597,Delivered,08:01:52,55
1762,Delivered,15:05:54,46
1402,Delivered,18:59:01,14
1067,Delivered,16:00:28,18
6844,Delivered,09:59:44,58
7302,In transit,,38
2116,Delivered,19:49:56,46
6533,Delivered,02:19:50,26
353,Delivered,10:51:44,32
6350,Delivered,13:49:52,64
4879,Delivered,02:32:17,38
8565,Delivered,12:17:45,58
4733,Delivered,01:06:57,40
2442,Delivered,22:04:01,70
3923,Delivered,20:09:58,59
3939,In transit,,30
511,Delivered,17:52:13,60
6787,Delivered,17:26:47,35
300,Delivered,20:56:29,64
5479,Delivered,00:08:09,59
6853,Delivered,09:28:21,10
4926,In transit,,69
2156,Delivered,08:25:26,28
1286,Delivered,02:30:05,34
4392,Delivered,22:33:41,57
2206,Failed,,70
7464,Delivered,19:36:59,68
3578,Delivered,00:02:57,15
6720,Delivered,19:12:16,28
7792,Delivered,16:50:38,31
6568,In transit,,46
1432,Delivered,23:14:46,22
8128,Delivered,17:58:19,32
2982,Delivered,23:04:39,4
6518,Delivered,11:18:24,16
1989,Delivered,02:09:56,29
165,Delivered,11:05:50,36
1738,Failed,,29
5950,Delivered,01:45:04,27
8375,In transit,,27
8578,Delivered,21:04:24,5
6585,Delivered,11:23:13,44
6253,Delivered,23:18:44,65
111,Delivered,17:56:06,47
1211,Delivered,08:18:52,45
1467,Delivered,20:51:10,58
1761,Failed,,45
428,Delivered,12:47:24,66
4147,In transit,,39
8542,Delivered,08:52:42,12
3880,In transit,,30
2131,Delivered,12:42:29,35
5213,Delivered,10:26:58,47
8886,Delivered,19:36:01,46
4132,Delivered,19:44:40,61
617,Delivered,11:54:38,60
8972,Delivered,11:57:49,32
2371,Delivered,23:37:50,5
7021,Delivered,12:11:53,55
2737,Failed,,44
7158,In transit,,32
5266,Delivered,10:01:04,7
1324,Failed,,44
2146,Delivered,18:10:34,57
8977,Delivered,00:17:45,19
7965,Delivered,10:23:13,61
579,Delivered,13:46:45,33
8920,Delivered,13:47:46,25
7094,Delivered,01:10:37,67
3391,Delivered,12:42:57,2
8104,Delivered,12:01:35,63
8057,In transit,,3
4261,Delivered,21:37:26,40
84,In transit,,6
967,Delivered,00:05:01,39
5769,Failed,,34
7385,Delivered,11:20:18,48
8112,Delivered,10:42:27,24
6380,Delivered,23:05:43,39
5913,Delivered,22:28:25,43
4073,Delivered,17:24:27,43
432,Delivered,08:10:54,25
7078,In transit,,40
543,Delivered,11:09:53,47
8675,Delivered,19:44:53,9
6644,Delivered,07:17:45,22
6929,Delivered,12:54:28,67
1261,Delivered,19:56:28,37
2063,Delivered,17:25:09,12
6123,Delivered,18:47:40,63
8045,Delivered,11:29:29,60
1763,Delivered,15:23:27,20
4761,In transit,,2
3562,Delivered,13:11:02,36
1696,Delivered,16:48:53,9
8979,Delivered,19:12:41,17
8660,In transit,,15
2488,Delivered,18:02:10,23
4676,Delivered,21:53:54,29
5282,Delivered,20:21:02,17
1841,Delivered,23:50:09,28
5252,Delivered,02:43:46,69
5890,Delivered,22:36:00,22
3266,Delivered,15:15:40,45
1122,Delivered,14:03:42,68
2719,Delivered,11:31:25,51
7195,Delivered,15:44:02,3
3854,Delivered,07:12:30,31
3922,Delivered,20:18:51,61
2662,Delivered,12:45:00,14
8712,Delivered,10:22:10,57
5488,Delivered,20:39:38,45
3094,Failed,,21
4222,Delivered,20:40:49,54
2550,Delivered,22:27:42,46
2758,Delivered,23:23:53,7
934,Delivered,11:04:30,50
6955,In transit,,51
6801,Delivered,01:11:33,20
8307,Delivered,14:09:10,59
1963,In transit,,36
2498,Delivered,21:07:47,21
1681,Delivered,19:55:26,36
2389,Delivered,02:00:41,48
3726,In transit,,64
442,Delivered,09:12:04,58
2182,Delivered,13:48:46,59
5166,Delivered,15:26:32,61
1934,Delivered,02:49:24,9
1857,Delivered,18:06:59,58
7252,In transit,,38
8541,Delivered,12:40:05,67
4860,Delivered,17:58:00,29
4220,Delivered,11:04:47,29
4655,Delivered,01:54:00,13
5940,In transit,,50
5243,Delivered,18:20:33,61
7876,In transit,,11
627,In transit,,22
3062,In transit,,43
6390,In transit,,45
6557,Delivered,01:36:09,55
2142,Delivered,18:32:25,25
6082,Delivered,15:06:12,45
1037,Delivered,12:36:53,60
8566,Delivered,21:24:55,42
2663,Delivered,20:13:37,3
1490,In transit,,14
3919,Failed,,12
7753,Delivered,07:30:19,59
1211,Delivered,11:18:52,26
8226,Delivered,08:09:43,45
5596,Delivered,20:29:35,3
2883,Delivered,18:10:35,31
4631,Failed,,27
270,Delivered,21:07:47,11
858,Delivered,17:08:25,38
43,Failed,,52
7848,Delivered,12:33:56,44
5577,In transit,,44
2273,Delivered,16:43:33,47
4632,Delivered,12:41:11,33
3405,Delivered,19:35:05,1
5489,In transit,,69
7578,Delivered,07:34:25,8
4218,Delivered,00:24:07,38
3337,In transit,,38
4462,Delivered,16:24:32,26
8733,Delivered,15:11:58,38
4090,Delivered,09:03:16,12
599,Delivered,10:21:01,33
7674,In transit,,49
49,Delivered,12:44:09,29
4720,Delivered,20:36:51,63
1799,In transit,,2
945,Delivered,21:22:39,31
273,Delivered,09:46:19,26
859,Delivered,22:46:39,41
4856,In transit,,40
5088,In transit,,50
800,Delivered,13:31:18,50
231,Delivered,15:11:58,19
7864,Delivered,22:33:48,58
2378,Delivered,18:17:01,56
5219,Delivered,12:21:43,19
3378,Delivered,11:47:11,68
3644,Delivered,12:45:51,57
1043,Delivered,02:11:58,43
1605,Delivered,01:51:56,24
3312,Delivered,19:38:28,56
5796,Delivered,23:54:45,18
3869,Delivered,21:14:15,17
7325,Delivered,00:02:49,65
2293,Delivered,09:19:44,49
6059,Delivered,08:16:37,62
2198,Delivered,15:58:15,25
7455,In transit,,62
3740,Delivered,11:16:34,24
4303,Delivered,13:19:49,21
3495,Delivered,11:30:34,55
1548,Delivered,12:11:45,45
3605,Delivered,17:11:00,7
8167,Delivered,08:52:06,26
813,Delivered,15:21:18,4
5548,Delivered,00:51:39,41
2612,Delivered,20:18:28,68
6688,In transit,,46
6872,Delivered,11:29:45,48
8259,Delivered,11:22:44,6
6854,In transit,,21
1357,Delivered,11:47:23,5
4583,In transit,,1
4174,Delivered,18:29:08,9
5059,Delivered,16:17:21,3
8384,Delivered,15:57:35,61
4893,In transit,,10
2479,Delivered,13:17:17,58
8024,In transit,,31
249,Delivered,18:49:29,6
4560,Delivered,13:20:37,39
5253,Delivered,10:42:39,14
4451,Delivered,23:16:26,32
7059,Delivered,11:03:35,33
7890,Delivered,17:33:47,7
7168,In transit,,32
4302,Delivered,09:54:21,48
4663,Delivered,12:49:17,65
8403,In transit,,36
5677,Delivered,12:53:51,29
8534,Failed,,6
4281,Delivered,22:18:56,47
6326,Delivered,16:58:41,6
8462,Delivered,15:10:21,55
4093,Delivered,08:22:32,21
7368,In transit,,69
1368,Delivered,14:09:13,17
1269,In transit,,14
5173,Delivered,22:50:32,62
2769,Delivered,17:37:40,17
6706,Delivered,23:58:30,21
5221,Delivered,12:52:33,21
3744,Delivered,01:12:43,2
4958,Delivered,13:06:01,70
6689,Delivered,02:05:56,39
5388,In transit,,12
2497,Failed,,10
1023,Delivered,11:17:50,31
8839,Delivered,15:29:52,62
7637,Delivered,19:47:18,34
6279,Delivered,12:32:00,2
7283,Delivered,19:56:57,15
4489,Delivered,20:05:20,13
6416,Delivered,23:59:53,6
1376,Delivered,18:28:01,26
7341,Delivered,14:29:20,31
4470,Delivered,09:15:25,19
1651,Delivered,12:02:25,3
7990,Delivered,10:58:02,41
5782,Delivered,20:25:21,36
4924,Delivered,10:05:09,11
1218,Delivered,07:35:42,15
1361,Delivered,21:14:52,25
5100,Delivered,11:40:39,31
8522,Delivered,12:42:46,22
3035,Delivered,11:47:39,51
8043,In transit,,18
5596,Delivered,20:29:35,54
3863,Delivered,21:23:58,12
343,Delivered,18:23:40,59
2085,Delivered,17:54:32,8
2630,In transit,,1
3610,Delivered,23:29:22,6
4373,Delivered,17:06:56,59
4578,Delivered,13:47:25,70
6720,Delivered,22:12:16,56
2843,In transit,,47
4015,Delivered,09:29:18,15
6371,Delivered,16:05:25,29
5099,Delivered,08:43:17,29
5947,Delivered,10:42:53,11
7863,In transit,,25
8885,Delivered,16:55:58,49
7007,Delivered,21:15:12,19
4985,In transit,,33
8707,Delivered,00:34:47,29
2762,In transit,,46
2840,Delivered,15:28:31,70
3790,Delivered,20:36:41,38
8557,Delivered,10:47:16,33
