order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
66,2026,4,"Ricotta stuffed Ravioli,Pork sausage roll,California maki",2020-09-24,19:43:47,completed,21.44
67,408,16,"Tuna sashimi,Chilli con carne,Pasta and Beans",2025-02-25,10:52:26,completed,19.71
68,1747,1,"Katsu Curry,Chilli con carne,Chicken Fajitas",2024-08-26,13:15:42,completed,19.65
69,1047,20,Philadelphia maki,2025-07-29,16:57:55,completed,4.86
70,1626,20,"Tuna sashimi,California maki,California maki,Chicken Fajitas",2020-10-22,22:08:11,pending,25.94
71,644,27,Teriyaki Chicken donburi,2025-08-21,21:51:01,completed,7.49
72,286,18,"Ricotta stuffed Ravioli,Vegetable Soup,Risotto with seafood",2020-04-03,14:00:29,completed,21.29
73,1421,10,Teriyaki Chicken donburi,2023-01-10,21:35:15,pending,7.94
74,1648,16,"Ebiten maki,Risotto with seafood",2022-05-04,20:01:25,completed,12.13
75,856,10,Bruschette with Tomato,2021-07-28,21:55:50,completed,8.54
76,1797,5,Katsu Curry,2021-03-08,17:38:15,completed,7.46
77,2922,20,"Ebiten maki,Pappardelle alla Bolognese",2025-01-30,09:56:56,completed,13.02
78,1869,8,"Cheeseburger,Meatballs with sauce",2021-07-29,18:22:02,completed,11.38
79,1007,30,Fish and chips,2021-11-13,09:32:07,pending,8.68
80,1897,22,Chilli con carne,2022-08-31,22:09:17,pending,5.34
81,431,13,"Pizza,Teriyaki Chicken donburi",2021-06-04,11:43:36,pending,11.24
82,1673,22,Pasta with Tomato and Basil,2021-12-05,12:44:53,pending,4.86
83,224,21,"Lasagne,Caesar Salad",2023-05-11,15:49:03,completed,15.92
84,1366,21,Tiramisù,2022-11-29,06:40:50,completed,6.75
85,611,28,"Mushroom Risotto,Philadelphia maki,Pizza,Ricotta stuffed Ravioli,Chilli con carne",2023-11-18,10:12:13,completed,30.32
86,1671,5,Mushroom Risotto,2021-11-06,22:20:01,completed,8.75
87,1745,13,"Pork belly buns,Fettuccine Alfredo",2020-02-27,15:15:48,completed,12.16
88,913,7,"Pizza,Linguine with clams,Teriyaki Chicken donburi",2025-07-12,10:57:28,completed,18.35
89,408,11,Risotto with seafood,2020-02-18,21:47:02,completed,8.59
90,1921,22,Chicken milanese,2024-04-09,22:51:57,completed,7.51
91,2315,23,"Chicken Fajitas,Meatballs with sauce",2020-01-19,09:51:11,completed,12.35
92,820,7,"Chicken milanese,Tiramisù",2022-12-22,20:56:26,pending,9.39
93,2612,29,Fettuccine Alfredo,2024-10-31,14:53:30,completed,8.77
94,1038,9,Cheeseburger,2023-03-01,22:21:33,completed,8.13
95,570,26,Caesar Salad,2020-07-22,06:51:42,completed,6.05
96,2341,28,Vegetable Soup,2023-10-18,14:12:53,completed,5.49
97,1797,23,California maki,2025-03-15,18:41:41,completed,4.86
98,1594,18,"Pasta and Beans,Pasta and Beans,Meatballs with sauce,Lasagne",2024-12-15,18:47:04,completed,28.36
99,2916,18,"Meatballs with sauce,Lasagne",2020-08-28,07:38:20,completed,14.28
100,512,8,Caprese Salad,2024-10-06,10:41:56,completed,4.3
101,2884,12,"Mushroom Risotto,Souvlaki",2021-05-27,19:50:15,pending,15.76
102,1913,3,"Katsu Curry,California maki,Linguine with clams,Pork sausage roll,Lasagne",2023-01-06,11:22:07,pending,30.17
103,872,10,"Linguine with clams,Teriyaki Chicken donburi",2025-03-10,16:01:50,completed,14.24
104,865,25,"Chicken wings,Cheeseburger",2024-12-23,17:20:26,completed,11.66
105,722,18,"Salmon nigiri,Mushroom Risotto,Caprese Salad",2024-11-08,09:28:28,completed,20.33
106,2478,23,Pork belly buns,2024-02-15,06:59:30,completed,7.2
107,1784,20,Cheeseburger,2024-04-14,13:39:34,completed,5.05
108,2935,12,"Pizza,Pork belly buns",2020-04-12,09:44:04,cancelled,11.59
109,795,13,"Pork sausage roll,Califlower penne",2023-02-03,21:53:47,cancelled,16.83
110,2955,29,"Pork sausage roll,Pork belly buns,Fettuccine Alfredo,Caesar Salad",2022-04-16,14:52:35,completed,23.07
111,727,11,"Califlower penne,Meatballs with sauce",2021-06-28,14:39:50,completed,16.18
112,2764,1,Pasta Carbonara,2023-02-02,18:14:08,completed,7.77
113,2399,14,"Ebiten maki,Barbecue Ribs,Lasagne",2025-06-12,19:06:19,completed,20.82
114,56,28,"Meatballs with sauce,Bruschette with Tomato,Ebiten maki,Chilli con carne",2021-08-02,19:52:34,completed,24.68
115,1786,20,"Caprese Salad,French fries with sausages,Caesar Salad,Pizza",2023-02-25,08:19:54,completed,28.09
116,2763,29,Lasagne,2021-06-16,20:22:08,pending,8.05
117,1857,25,Scotch eggs,2020-01-26,22:40:51,completed,6.64
118,1358,7,"Tuna sashimi,Pork sausage roll",2024-08-01,08:30:50,completed,15.33
119,1266,2,"Souvlaki,Vegetable Soup,Pasta Carbonara,Pasta Carbonara",2022-02-08,10:49:54,completed,30.42
120,2942,28,"Pasta and Beans,Ricotta stuffed Ravioli,Tuna sashimi,Pizza",2022-10-02,07:28:54,completed,31.34
121,124,30,"Philadelphia maki,Ricotta stuffed Ravioli,California maki,Barbecue Ribs,Chilli con carne",2024-11-13,22:11:41,completed,30.3
122,1278,24,Pasta and Beans,2020-08-28,19:22:26,completed,8.02
123,430,10,"Philadelphia maki,Teriyaki Chicken donburi,Cheeseburger,Philadelphia maki,Pappardelle alla Bolognese",2023-01-03,20:41:45,completed,37.26
124,174,5,"Pasta and Beans,Fish and chips",2022-03-06,08:43:56,completed,10.54
125,88,3,"Pasta Carbonara,Tiramisù",2024-03-03,20:25:15,completed,13.6
126,1804,18,"Tiramisù,Katsu Curry,Philadelphia maki,Chicken milanese",2022-02-27,18:05:07,completed,24.5
127,1236,3,Caesar Salad,2020-04-02,15:20:01,pending,7.06
128,1298,1,"Salmon nigiri,Tiramisù,Risotto with seafood",2022-04-25,12:39:06,pending,18.72
129,1115,7,"Califlower penne,Pizza,Linguine with clams",2020-01-22,16:41:11,cancelled,17.49
130,122,11,Katsu Curry,2020-06-09,15:00:44,completed,5.27
131,834,7,"Vegetable Soup,Meatballs with sauce,Caprese Salad,Vegetable Soup",2024-08-26,15:58:18,completed,23.14
132,20,7,Scotch eggs,2020-03-11,17:17:37,completed,6.79
133,2253,9,Ebiten maki,2021-05-09,16:38:58,completed,5.67
134,61,28,Lasagne,2025-07-09,06:16:58,pending,4.89
135,2171,22,"Fettuccine Alfredo,French fries with sausages,Linguine with clams",2022-11-04,15:23:22,completed,23.79
136,2640,28,"Katsu Curry,Mushroom Risotto,Lasagne,Scotch eggs,Linguine with clams",2023-08-09,14:16:47,completed,28.82
137,1709,15,"Chicken milanese,Caprese Salad",2025-06-09,12:08:17,pending,13.9
138,786,9,"Barbecue Ribs,Meatballs with sauce,California maki,Fish and chips,Pork sausage roll",2020-11-17,09:06:10,pending,35.67
139,814,6,Pasta and Beans,2020-08-24,09:40:43,completed,7.8
140,2563,4,"Pasta and Beans,Chicken Fajitas,Ebiten maki,Fish and chips",2025-07-11,17:41:49,completed,29.25
141,1646,15,Pasta with Tomato and Basil,2025-02-13,06:33:35,completed,4.83
142,1055,4,"French fries with sausages,Chilli con carne,Cheeseburger",2024-10-26,13:09:18,completed,20.35
143,2505,3,"Tuna sashimi,Salmon nigiri",2020-08-04,10:57:45,completed,13.69
144,2649,4,"Linguine with clams,Risotto with seafood,Fish and chips",2025-03-16,10:25:06,completed,16.3
145,2981,2,"Lasagne,Pizza,Katsu Curry,Califlower penne",2023-04-01,09:41:44,pending,21.72
146,911,7,"Lasagne,Pizza,Tiramisù",2023-02-05,10:47:10,completed,13.72
147,1288,27,Meatballs with sauce,2024-09-01,13:47:12,completed,5.17
148,476,10,"Pork belly buns,Pizza,Chicken Fajitas",2021-03-24,06:31:30,completed,18.83
149,518,17,Risotto with seafood,2024-03-16,10:10:02,completed,5.65
150,1797,8,"Philadelphia maki,Cheeseburger,Chicken wings,Barbecue Ribs",2020-08-27,09:50:45,completed,26.83
151,1873,9,Teriyaki Chicken donburi,2022-02-04,11:54:56,completed,7.67
152,2917,20,Tiramisù,2020-01-22,21:16:25,completed,4.11
153,2945,2,"Pork belly buns,Teriyaki Chicken donburi,Pizza,Salmon nigiri,French fries with sausages",2025-03-18,11:10:22,cancelled,32.32
154,2832,14,"Pasta Carbonara,Risotto with seafood",2023-12-01,06:40:24,completed,10.19
155,2348,27,"Risotto with seafood,Pasta Carbonara,Pork sausage roll",2022-01-02,13:26:14,completed,21.55
156,1307,11,"Chicken milanese,Cheeseburger",2023-10-07,20:27:58,completed,13.49
157,1601,24,"Risotto with seafood,Pork belly buns,French fries with sausages,Katsu Curry,Meatballs with sauce",2022-06-11,13:36:10,completed,37.15
158,1473,9,Tiramisù,2023-07-15,15:45:59,cancelled,4.27
159,2621,22,Pasta with Tomato and Basil,2021-04-06,08:09:47,completed,6.3
160,1469,1,Lasagne,2025-06-02,18:31:20,completed,5.42
161,305,13,Katsu Curry,2024-10-29,18:16:46,completed,7.33
162,1870,24,"Ricotta stuffed Ravioli,Pasta Carbonara",2020-01-04,08:45:16,completed,14.46
163,301,15,Pizza,2020-10-03,10:09:18,completed,6.85
164,2026,10,"Linguine with clams,Chicken milanese,Pasta and Beans",2022-04-26,19:02:45,completed,20.1
165,1901,28,Chicken milanese,2020-06-04,17:46:03,pending,7.9
166,930,18,"Scotch eggs,Chilli con carne",2024-11-15,20:26:55,completed,12.45
167,2161,18,"Pizza,Lasagne,Meatballs with sauce,Chilli con carne,California maki",2025-07-18,13:05:08,completed,37.17
168,802,22,Cheeseburger,2024-08-23,08:23:32,completed,6.43
169,2667,27,Katsu Curry,2024-03-26,21:43:05,completed,7.17
170,1580,8,"Philadelphia maki,Salmon nigiri,Pasta Carbonara",2020-09-08,09:46:39,completed,17.32
171,2991,3,Teriyaki Chicken donburi,2021-01-24,18:11:54,completed,4.33
172,255,24,Pasta and Beans,2024-12-07,18:56:32,completed,7.86
173,2909,26,"Pasta Carbonara,Katsu Curry",2020-02-29,22:28:51,completed,15.95
174,269,22,"Linguine with clams,Cheeseburger",2022-06-06,15:18:29,pending,9.31
175,1931,9,"Pork sausage roll,Chicken milanese",2020-09-05,08:13:31,completed,15.8
176,2068,8,"Ebiten maki,Fish and chips,Pork belly buns,Souvlaki,Fettuccine Alfredo",2022-06-14,21:49:49,completed,31.54
177,695,28,Bruschette with Tomato,2024-10-22,12:44:53,completed,5.72
178,2114,26,Vegetable Soup,2022-05-19,13:59:26,completed,7.61
179,2227,12,"Chilli con carne,Risotto with seafood",2022-07-04,12:29:40,completed,15.0
180,2869,15,Ricotta stuffed Ravioli,2023-02-22,15:48:21,completed,8.54
181,283,25,Ricotta stuffed Ravioli,2023-10-25,16:45:15,completed,8.02
182,1454,21,Chilli con carne,2024-08-23,08:10:11,completed,8.19
183,2007,19,"Chilli con carne,Fettuccine Alfredo",2020-01-01,14:14:36,completed,12.5
184,2916,16,Caprese Salad,2020-09-17,13:38:44,completed,7.18
185,278,28,"Cheeseburger,Califlower penne,Caprese Salad",2023-10-13,20:03:31,completed,19.05
186,2960,21,"Caprese Salad,Pork belly buns,Mushroom Risotto,Pork belly buns",2023-12-02,06:18:38,pending,21.08
187,1528,15,Scotch eggs,2021-12-02,21:27:56,cancelled,4.3
188,936,30,"Philadelphia maki,Pasta with Tomato and Basil,Linguine with clams",2023-08-07,16:26:31,completed,21.38
189,2260,30,"Chicken milanese,Teriyaki Chicken donburi,Pasta Carbonara",2023-05-15,18:53:22,completed,21.03
190,1574,26,"Pizza,Pork belly buns,Mushroom Risotto",2025-03-05,19:01:11,completed,22.99
191,827,3,Pasta with Tomato and Basil,2020-05-06,11:14:15,completed,8.39
192,2405,28,Chicken Fajitas,2024-11-13,06:15:33,completed,8.57
193,361,22,"Vegetable Soup,Caprese Salad,Pasta and Beans,Pasta and Beans",2024-08-24,12:42:10,cancelled,26.6
194,1576,21,Mushroom Risotto,2022-07-31,09:10:46,completed,8.6
195,2766,29,"Teriyaki Chicken donburi,Pizza",2022-05-26,07:30:13,completed,17.14
196,905,5,Bruschette with Tomato,2022-04-16,10:03:20,completed,6.76
197,1624,23,"Pizza,Chicken milanese",2025-09-23,06:12:03,completed,11.66
198,169,16,"Vegetable Soup,Pasta Carbonara,Katsu Curry",2024-03-23,10:39:08,completed,16.57
199,283,1,Mushroom Risotto,2020-08-14,11:07:53,cancelled,6.84
200,116,6,Chicken milanese,2022-08-20,13:56:34,completed,5.65
201,2727,17,"Chilli con carne,Chicken Fajitas,Vegetable Soup,Barbecue Ribs,Vegetable Soup",2022-05-16,07:03:50,completed,29.92
202,2926,26,Barbecue Ribs,2024-07-13,14:42:55,pending,5.7
203,1349,16,"Pork belly buns,California maki,Meatballs with sauce,Risotto with seafood",2025-05-27,20:27:54,completed,25.86
204,2365,21,"California maki,Chicken milanese",2021-03-26,22:14:21,completed,15.96
205,2383,13,"Vegetable Soup,Teriyaki Chicken donburi",2025-09-29,16:57:42,completed,13.75
206,1032,10,"Pork belly buns,Ebiten maki,Vegetable Soup,Teriyaki Chicken donburi,Katsu Curry",2023-10-10,15:51:16,completed,33.16
207,109,3,"Barbecue Ribs,Barbecue Ribs,Barbecue Ribs",2020-03-17,10:50:58,pending,18.37
208,1549,10,"Risotto with seafood,Teriyaki Chicken donburi",2023-12-29,15:49:07,completed,13.18
209,2696,21,Scotch eggs,2021-02-01,15:25:08,cancelled,6.7
210,1424,27,Pasta Carbonara,2023-08-25,22:34:31,completed,6.38
211,2639,7,"Salmon nigiri,Califlower penne",2020-11-10,17:09:41,completed,11.16
212,2175,7,Teriyaki Chicken donburi,2020-02-02,14:29:48,completed,6.02
213,2621,4,Scotch eggs,2020-08-13,11:14:09,completed,6.95
214,2270,28,"Chicken milanese,Bruschette with Tomato,Mushroom Risotto,Caprese Salad,Salmon nigiri",2024-03-24,17:56:06,completed,33.41
215,429,29,"Pappardelle alla Bolognese,Bruschette with Tomato",2021-09-04,18:08:30,completed,10.79
216,1520,9,"Risotto with seafood,Caesar Salad,Mushroom Risotto,Pappardelle alla Bolognese",2022-12-22,13:53:22,completed,30.83
217,1186,28,"Chicken Fajitas,Chicken milanese,Meatballs with sauce",2022-09-10,20:10:47,completed,25.18
218,247,25,Salmon nigiri,2021-06-05,14:33:04,completed,5.33
219,1179,14,Califlower penne,2025-08-07,07:42:27,pending,6.12
220,1613,26,Pork belly buns,2021-10-25,07:43:42,completed,5.48
221,1532,25,"Caprese Salad,Mushroom Risotto",2024-06-01,20:22:13,completed,12.36
222,2252,27,"Souvlaki,Pasta and Beans,Philadelphia maki,Ricotta stuffed Ravioli,Souvlaki",2021-01-29,06:54:25,completed,36.07
223,1960,12,"Pasta and Beans,Califlower penne,Pork belly buns",2025-03-09,17:15:52,completed,19.08
224,2665,20,Scotch eggs,2021-05-27,09:09:35,completed,4.84
225,1502,27,Pasta Carbonara,2021-12-26,12:56:18,completed,8.04
226,115,6,Pasta and Beans,2021-11-19,13:34:38,completed,5.67
227,1654,22,"Chicken milanese,California maki",2023-01-15,09:08:28,completed,11.01
228,894,27,"Katsu Curry,Fish and chips",2023-04-09,12:58:45,completed,13.55
229,2822,12,Califlower penne,2023-10-30,06:22:12,completed,8.38
230,2391,19,"Salmon nigiri,Philadelphia maki,Ricotta stuffed Ravioli,Fish and chips,Pork belly buns",2021-01-30,12:59:10,completed,33.06
231,2513,9,"Ricotta stuffed Ravioli,Risotto with seafood,Meatballs with sauce",2024-03-21,12:41:49,completed,17.54
232,1957,8,"Scotch eggs,Ricotta stuffed Ravioli",2020-08-30,09:21:16,completed,13.7
233,2970,1,"Ebiten maki,Souvlaki",2021-08-07,20:50:41,completed,15.79
234,2724,20,Fettuccine Alfredo,2020-05-06,07:40:56,pending,4.83
235,147,7,Cheeseburger,2020-11-22,10:51:37,completed,5.95
236,2415,11,French fries with sausages,2023-02-17,22:54:46,completed,5.35
237,2367,21,"Chicken milanese,Scotch eggs,Chilli con carne",2025-09-09,22:26:23,completed,13.9
238,1019,26,"Chilli con carne,Souvlaki",2021-05-05,17:41:01,completed,16.6
239,2897,9,"Califlower penne,Mushroom Risotto,Tuna sashimi",2020-02-05,13:10:59,completed,21.16
240,1937,20,"Caprese Salad,French fries with sausages",2020-02-23,21:53:35,completed,12.5
241,2209,16,Ebiten maki,2020-07-24,18:57:50,completed,8.47
242,2145,22,Vegetable Soup,2022-04-01,16:04:37,completed,4.9
243,593,16,"Fish and chips,Chicken Fajitas,Linguine with clams",2021-07-16,13:30:06,completed,20.31
244,2299,18,"Bruschette with Tomato,Tuna sashimi,Vegetable Soup",2022-09-30,22:22:57,completed,19.94
245,1495,14,"Tiramisù,French fries with sausages",2021-06-19,13:04:45,completed,11.12
246,2515,29,"Risotto with seafood,Pizza,Pasta with Tomato and Basil,Cheeseburger",2023-08-25,06:44:38,completed,26.78
247,241,9,Souvlaki,2024-10-07,13:25:55,completed,8.22
248,2757,7,"Philadelphia maki,Califlower penne",2023-07-16,09:01:53,completed,11.92
249,197,15,"Barbecue Ribs,Barbecue Ribs,Pasta Carbonara,Salmon nigiri,Pasta with Tomato and Basil",2020-09-21,08:05:17,completed,35.51
250,2276,30,Pappardelle alla Bolognese,2023-04-28,08:48:59,completed,6.71
251,1958,25,Chilli con carne,2021-07-28,11:51:38,completed,5.15
252,895,5,Pasta and Beans,2021-12-11,10:29:06,completed,5.36
253,1553,16,"Linguine with clams,Pappardelle alla Bolognese,Souvlaki",2021-07-16,19:51:30,completed,21.26
254,2290,25,Fettuccine Alfredo,2023-09-11,20:22:43,completed,4.97
255,87,30,Salmon nigiri,2025-08-11,11:24:32,completed,5.4
256,2509,1,"Pappardelle alla Bolognese,Risotto with seafood,Pizza,Cheeseburger",2024-06-17,22:59:22,completed,24.83
257,1574,8,Cheeseburger,2025-08-19,17:52:14,completed,5.36
258,2375,27,"Lasagne,Califlower penne",2024-12-01,09:09:20,completed,13.48
259,1607,12,Katsu Curry,2022-10-14,21:13:04,completed,8.95
260,866,10,Meatballs with sauce,2024-05-28,09:47:33,completed,5.25
261,2242,10,Linguine with clams,2021-04-06,17:14:09,completed,7.76
262,215,14,Califlower penne,2020-04-30,20:38:22,completed,6.79
263,2988,8,"Mushroom Risotto,Katsu Curry,Pizza,Pizza",2024-06-20,11:51:35,completed,24.6
264,146,9,Caesar Salad,2024-10-10,17:34:39,completed,8.24
265,2116,19,"Risotto with seafood,Caesar Salad,California maki,Caprese Salad",2020-12-30,20:33:24,pending,28.32
266,2057,13,"Ricotta stuffed Ravioli,California maki,Pasta with Tomato and Basil",2022-12-08,18:24:55,completed,17.36
267,2890,17,Fettuccine Alfredo,2022-05-12,16:20:08,completed,5.18
268,2688,29,Cheeseburger,2022-11-05,20:12:33,completed,8.82
269,801,25,"Fettuccine Alfredo,Pasta Carbonara,Mushroom Risotto,Cheeseburger,Ricotta stuffed Ravioli",2020-12-29,22:30:06,completed,33.45
270,111,18,"Mushroom Risotto,Bruschette with Tomato",2025-04-21,06:52:05,completed,9.51
271,1432,7,"Pasta and Beans,Lasagne",2024-08-05,12:12:10,completed,10.1
272,2051,9,Philadelphia maki,2025-05-01,07:50:45,completed,7.29
273,586,12,"Pasta with Tomato and Basil,California maki",2024-11-02,14:59:02,completed,14.1
274,627,27,Califlower penne,2024-08-01,13:39:26,completed,8.14
275,2736,8,"Risotto with seafood,Caprese Salad",2025-06-03,21:42:06,completed,12.8
276,2002,14,"Teriyaki Chicken donburi,Califlower penne,Philadelphia maki",2021-12-22,18:33:20,pending,20.62
277,1964,2,"Barbecue Ribs,Meatballs with sauce,Mushroom Risotto",2022-07-24,15:08:56,completed,18.88
278,190,19,"Caesar Salad,Chicken wings,Salmon nigiri",2024-11-22,22:08:18,completed,20.41
279,2904,12,"Barbecue Ribs,Califlower penne",2025-06-08,19:29:55,completed,14.55
280,1029,10,"Caprese Salad,Barbecue Ribs",2020-11-13,09:03:32,cancelled,8.94
281,849,30,"Barbecue Ribs,Salmon nigiri",2021-12-17,17:40:12,completed,11.09
282,1523,14,Pasta with Tomato and Basil,2024-03-08,20:52:39,completed,8.55
283,777,10,Mushroom Risotto,2022-01-03,19:20:34,completed,7.8
284,2498,23,Pizza,2020-02-15,08:58:45,completed,5.14
285,46,17,"Pizza,Linguine with clams,Souvlaki",2025-07-06,07:43:53,completed,17.81
286,47,3,Pizza,2022-12-22,15:58:00,completed,6.15
287,2264,23,Pizza,2022-06-25,15:47:55,completed,4.38
288,750,25,Pasta Carbonara,2021-10-21,07:58:18,completed,7.84
289,1531,25,Mushroom Risotto,2021-04-08,16:14:36,completed,4.85
290,2389,2,"Fish and chips,California maki",2020-01-26,07:12:34,completed,13.14
291,1832,15,Chicken Fajitas,2024-12-18,14:34:48,pending,7.7
292,2555,2,Califlower penne,2023-03-14,20:34:32,completed,6.78
293,782,15,"Pasta with Tomato and Basil,Tuna sashimi,Ebiten maki,Pasta with Tomato and Basil",2022-03-22,18:05:57,completed,21.06
294,2043,13,Salmon nigiri,2024-07-11,21:50:37,completed,6.52
295,2730,11,Meatballs with sauce,2025-07-29,21:01:27,completed,6.85
296,534,5,Bruschette with Tomato,2023-09-17,16:24:02,completed,8.62
297,494,1,Bruschette with Tomato,2022-10-31,19:45:12,pending,4.03
298,1323,22,"Pizza,Mushroom Risotto",2023-04-30,11:41:33,completed,10.78
299,2061,18,Pasta with Tomato and Basil,2024-06-16,21:31:40,completed,5.18
300,2794,24,Chicken milanese,2025-04-15,22:50:33,completed,8.66
301,95,27,Pork sausage roll,2021-12-06,16:57:35,completed,8.86
302,256,16,"Tuna sashimi,Pasta with Tomato and Basil",2021-08-08,11:49:29,completed,15.65
303,563,23,Salmon nigiri,2024-03-04,10:10:30,completed,8.03
304,998,6,"Risotto with seafood,Souvlaki",2021-09-24,07:31:10,completed,10.45
305,1414,20,"Vegetable Soup,Lasagne,Mushroom Risotto,Pasta and Beans",2020-02-22,11:50:50,completed,20.27
306,1815,4,"Fettuccine Alfredo,Scotch eggs",2021-12-30,06:48:48,pending,12.78
